"network_id" "kind" "rep" "mu" "c" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R_predicted" "x_bar" "x_reduced" "R_alternative_1" "R_alternative_2"
"11" "OCN_2" "OCN" 1 0.01 0.1 0.0106755795609201 0.0106929895603709 1.02997721644079 1 0.479478184751843 7.70347715614143e-43 1.61849321474279e-42 1.23774491993698e-42 0 29.9887297116797
"12" "OCN_2" "OCN" 1 0.01 0.1 0.0106755795609201 0.0106929895603709 1.02997721644079 1 4.9117094848202 29.9887300938335 27.2321468120029 28.5390166906075 0 29.9887297116797
"13" "OCN_2" "OCN" 1 0.01 0.1 0.0106755795609201 0.0106929895603709 1.02997721644079 1 7.65444138742058 29.9887300938335 29.9951174196277 29.9942947005739 0 29.9887297116797
"14" "OCN_2" "OCN" 1 0.01 0.1 0.0106755795609201 0.0106929895603709 1.02997721644079 1 8.03323861995692 29.9887300938335 28.6133990915272 25.7215400842645 0 29.9887297116797
"15" "OCN_2" "OCN" 1 0.01 0.1 0.0106755795609201 0.0106929895603709 1.02997721644079 1 12.8701214182098 29.9887300938335 29.9951174196277 29.9942947005739 0 29.9887297116797
"16" "OCN_2" "OCN" 1 0.01 0.1 0.0106755795609201 0.0106929895603709 1.02997721644079 1 13.8414256676258 29.9887300938335 29.9951174196277 29.9942947005739 0 29.9887297116797
"17" "OCN_2" "OCN" 1 0.01 0.1 0.0106755795609201 0.0106929895603709 1.02997721644079 1 20.0286432661382 29.9887300938335 29.9951174196277 29.9942947005739 0 29.9887297116797
"18" "OCN_2" "OCN" 1 0.01 0.1 0.0106755795609201 0.0106929895603709 1.02997721644079 1 17.9731923574582 29.9887300938335 29.9951174196277 29.9942947005739 0 29.9887297116797
"19" "OCN_2" "OCN" 1 0.01 0.1 0.0106755795609201 0.0106929895603709 1.02997721644079 1 22.2553297285464 29.9887300938335 29.9951174196277 29.9942947005739 0 29.9887297116797
"110" "OCN_2" "OCN" 1 0.01 0.1 0.0106755795609201 0.0106929895603709 1.02997721644079 1 26.0155227785616 29.9887300938335 29.9951174196277 29.9942947005739 0 29.9887297116797
"111" "OCN_2" "OCN" 1 0.12 0.1 0.128106954731041 0.12831587472445 1.02997721644079 1 1.41662074255592 1.12948599260834e-43 29.5205136564199 29.4844467681154 0 29.8641513985429
"112" "OCN_2" "OCN" 1 0.12 0.1 0.128106954731041 0.12831587472445 1.02997721644079 1 5.71360532748922 29.8641338863193 29.5205136564199 29.4844467681154 0 29.8641513985429
"113" "OCN_2" "OCN" 1 0.12 0.1 0.128106954731041 0.12831587472445 1.02997721644079 1 12.0693951550518 29.8641338863193 29.5205136564199 29.4844467681154 0 29.8641513985429
"114" "OCN_2" "OCN" 1 0.12 0.1 0.128106954731041 0.12831587472445 1.02997721644079 1 14.2718366578017 29.8641338863193 29.5205136564199 29.4844467681154 0 29.8641513985429
"115" "OCN_2" "OCN" 1 0.12 0.1 0.128106954731041 0.12831587472445 1.02997721644079 1 12.2730467594352 29.8641338863193 29.5205136564199 29.4844467681154 0 29.8641513985429
"116" "OCN_2" "OCN" 1 0.12 0.1 0.128106954731041 0.12831587472445 1.02997721644079 1 17.1049840257344 29.8641338863193 29.5205136564199 29.4844467681154 0 29.8641513985429
"117" "OCN_2" "OCN" 1 0.12 0.1 0.128106954731041 0.12831587472445 1.02997721644079 1 17.4033836071558 29.8641338863193 29.5205136564199 29.4844467681154 0 29.8641513985429
"118" "OCN_2" "OCN" 1 0.12 0.1 0.128106954731041 0.12831587472445 1.02997721644079 1 24.2503566832683 29.8641338863193 29.5205136564199 29.4844467681154 0 29.8641513985429
"119" "OCN_2" "OCN" 1 0.12 0.1 0.128106954731041 0.12831587472445 1.02997721644079 1 24.6330326344992 29.8641338863193 29.5205136564199 29.4844467681154 0 29.8641513985429
"120" "OCN_2" "OCN" 1 0.12 0.1 0.128106954731041 0.12831587472445 1.02997721644079 1 31.099438124914 29.8641338863193 29.5205136564199 29.4844467681154 0 29.8641513985429
"121" "OCN_2" "OCN" 1 0.23 0.1 0.245538329901163 0.24593875988853 1.02997721644079 1 1.29878952407921 3.30078960739403e-45 28.5437252679824 28.4125168005437 0 29.7383650638432
"122" "OCN_2" "OCN" 1 0.23 0.1 0.245538329901163 0.24593875988853 1.02997721644079 1 4.43311820015808 29.738365062146 28.5437252679824 28.4125168005437 0 29.7383650638432
"123" "OCN_2" "OCN" 1 0.23 0.1 0.245538329901163 0.24593875988853 1.02997721644079 1 7.41627289905971 29.738365062146 28.5437252679824 28.4125168005437 0 29.7383650638432
"124" "OCN_2" "OCN" 1 0.23 0.1 0.245538329901163 0.24593875988853 1.02997721644079 1 9.90835391522872 29.738365062146 28.5437252679824 28.4125168005437 0 29.7383650638432
