"network_id" "kind" "rep" "mu" "c" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R_predicted" "x_bar" "x_reduced" "R_alternative_1" "R_alternative_2"
"11" "ER_10" "Erdos-Renyi" 1 0.01 0.1 0.0100666200294347 0.0102615435695949 1.00635664180155 1.48223227500282 1.17898197411179 2.74479796949912e-42 28.623414855262 28.3188799024728 0 29.9913252357197
"12" "ER_10" "Erdos-Renyi" 1 0.01 0.1 0.0100666200294347 0.0102615435695949 1.00635664180155 1.48223227500282 4.21596353276667 29.9913254631535 29.9986403240306 29.9921319359507 0 29.9913252357197
"13" "ER_10" "Erdos-Renyi" 1 0.01 0.1 0.0100666200294347 0.0102615435695949 1.00635664180155 1.48223227500282 8.85677803874167 29.9913254631535 29.9986403240306 29.9921319359507 0 29.9913252357197
"14" "ER_10" "Erdos-Renyi" 1 0.01 0.1 0.0100666200294347 0.0102615435695949 1.00635664180155 1.48223227500282 12.2053720569168 29.9913254631535 29.9986403240306 29.9921319359507 0 29.9913252357197
"15" "ER_10" "Erdos-Renyi" 1 0.01 0.1 0.0100666200294347 0.0102615435695949 1.00635664180155 1.48223227500282 13.6203874889054 29.9913254631535 29.9986403240306 29.9921319359507 0 29.9913252357197
"16" "ER_10" "Erdos-Renyi" 1 0.01 0.1 0.0100666200294347 0.0102615435695949 1.00635664180155 1.48223227500282 14.052616857379 29.9913254631535 29.9986403240306 29.9921319359507 0 29.9913252357197
"17" "ER_10" "Erdos-Renyi" 1 0.01 0.1 0.0100666200294347 0.0102615435695949 1.00635664180155 1.48223227500282 23.2693624370256 29.9913254631535 29.9986403240306 29.9921319359507 0 29.9913252357197
"18" "ER_10" "Erdos-Renyi" 1 0.01 0.1 0.0100666200294347 0.0102615435695949 1.00635664180155 1.48223227500282 22.9501386799516 29.9913254631535 29.9986403240306 29.9921319359507 0 29.9913252357197
"19" "ER_10" "Erdos-Renyi" 1 0.01 0.1 0.0100666200294347 0.0102615435695949 1.00635664180155 1.48223227500282 25.9817506891082 29.9913254631535 29.9986403240306 29.9921319359507 0 29.9913252357197
"110" "ER_10" "Erdos-Renyi" 1 0.01 0.1 0.0100666200294347 0.0102615435695949 1.00635664180155 1.48223227500282 28.5298451340459 29.9913254631535 29.9986403240306 29.9921319359507 0 29.9913252357197
"111" "ER_10" "Erdos-Renyi" 1 0.12 0.1 0.120799440353216 0.123138522835139 1.00635664180155 1.48223227500282 0.717993906835461 9.70368521136622e-44 3.06928195186939e-42 3.00348378914727e-42 0 29.8955073041564
"112" "ER_10" "Erdos-Renyi" 1 0.12 0.1 0.120799440353216 0.123138522835139 1.00635664180155 1.48223227500282 2.78088073087478 2.91621929403352e-42 29.8381991269548 29.7571097340064 0 29.8955073041564
