"network_id" "kind" "rep" "mu" "c" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R_predicted" "x_bar" "x_reduced" "R_alternative_1" "R_alternative_2"
"11" "RGG_3" "RGG" 1 0.01 0.1 0.00988459919115309 0.00995013442045693 1.00503248496231 1.53699921695638 0.231017420457447 4.26725787960936e-43 5.27409494611489e-43 5.24146885428051e-43 0 29.996145766844
"12" "RGG_3" "RGG" 1 0.01 0.1 0.00988459919115309 0.00995013442045693 1.00503248496231 1.53699921695638 5.48438761198645 29.9961458121186 29.9992855696582 29.9971111690134 0 29.996145766844
"13" "RGG_3" "RGG" 1 0.01 0.1 0.00988459919115309 0.00995013442045693 1.00503248496231 1.53699921695638 9.38892727667261 29.9961458121186 29.9992855696582 29.9971111690134 0 29.996145766844
"14" "RGG_3" "RGG" 1 0.01 0.1 0.00988459919115309 0.00995013442045693 1.00503248496231 1.53699921695638 9.20999252964472 29.9961458121186 29.9992855696582 29.9971111690134 0 29.996145766844
"15" "RGG_3" "RGG" 1 0.01 0.1 0.00988459919115309 0.00995013442045693 1.00503248496231 1.53699921695638 13.162487584757 29.9961458121186 29.9992855696582 29.9971111690134 0 29.996145766844
"16" "RGG_3" "RGG" 1 0.01 0.1 0.00988459919115309 0.00995013442045693 1.00503248496231 1.53699921695638 16.1778283573167 29.9961458121186 29.9992855696582 29.9971111690134 0 29.996145766844
"17" "RGG_3" "RGG" 1 0.01 0.1 0.00988459919115309 0.00995013442045693 1.00503248496231 1.53699921695638 20.4849248652545 29.9961458121186 29.9992855696582 29.9971111690134 0 29.996145766844
"18" "RGG_3" "RGG" 1 0.01 0.1 0.00988459919115309 0.00995013442045693 1.00503248496231 1.53699921695638 23.5280983624997 29.9961458121186 29.9992855696582 29.9971111690134 0 29.996145766844
"19" "RGG_3" "RGG" 1 0.01 0.1 0.00988459919115309 0.00995013442045693 1.00503248496231 1.53699921695638 22.8083420188249 29.9961458121186 29.9992855696582 29.9971111690134 0 29.996145766844
"110" "RGG_3" "RGG" 1 0.01 0.1 0.00988459919115309 0.00995013442045693 1.00503248496231 1.53699921695638 31.1805887793368 29.9961458121186 29.9992855696582 29.9971111690134 0 29.996145766844
"111" "RGG_3" "RGG" 1 0.12 0.1 0.118615190293837 0.119401613045483 1.00503248496231 1.53699921695639 1.49062706306164 1.46499424158962e-42 29.9203823217607 29.8956306286768 0 29.9536708105424
"112" "RGG_3" "RGG" 1 0.12 0.1 0.118615190293837 0.119401613045483 1.00503248496231 1.53699921695639 4.02815609595789 29.9536768722756 29.9203823217607 29.8956306286768 0 29.9536708105424
"113" "RGG_3" "RGG" 1 0.12 0.1 0.118615190293837 0.119401613045483 1.00503248496231 1.53699921695639 7.26132318794216 29.9536768722756 29.9203823217607 29.8956306286768 0 29.9536708105424
"114" "RGG_3" "RGG" 1 0.12 0.1 0.118615190293837 0.119401613045483 1.00503248496231 1.53699921695639 11.0228423278288 29.9536768722756 29.9203823217607 29.8956306286768 0 29.9536708105424
"115" "RGG_3" "RGG" 1 0.12 0.1 0.118615190293837 0.119401613045483 1.00503248496231 1.53699921695639 12.6158211220371 29.9536768722756 29.9203823217607 29.8956306286768 0 29.9536708105424
"116" "RGG_3" "RGG" 1 0.12 0.1 0.118615190293837 0.119401613045483 1.00503248496231 1.53699921695639 16.9484585042493 29.9536768722756 29.9203823217607 29.8956306286768 0 29.9536708105424
"117" "RGG_3" "RGG" 1 0.12 0.1 0.118615190293837 0.119401613045483 1.00503248496231 1.53699921695639 15.268400498143 29.9536768722756 29.9203823217607 29.8956306286768 0 29.9536708105424
"118" "RGG_3" "RGG" 1 0.12 0.1 0.118615190293837 0.119401613045483 1.00503248496231 1.53699921695639 20.867138442715 29.9536768722756 29.9203823217607 29.8956306286768 0 29.9536708105424
