"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "OCN_30" "OCN" 84 1 0.01 0.075 0.0106148626631628 0.0107537092755662 1.04387456034473 1 31.3538283434688 30.3105008942216 30.0033800554673 30.321796759899
"12" "OCN_30" "OCN" 84 1 0.12 0.075 0.127378351957953 0.129044511306794 1.04387456034473 1 31.3538283434688 30.1051309837616 29.5759726323855 29.84735207082
"13" "OCN_30" "OCN" 84 1 0.23 0.075 0.244141841252744 0.247335313338022 1.04387456034473 1 31.3538283434688 29.8968984878135 28.6770608107224 28.8931046177518
"14" "OCN_30" "OCN" 84 1 0.34 0.075 0.360905330547534 0.36562611536925 1.04387456034473 1 31.3538283434688 29.6856802590587 27.4148965041727 27.6112285225406
"15" "OCN_30" "OCN" 84 1 0.45 0.075 0.477668819842325 0.483916917400478 1.04387456034473 1 31.3538283434688 29.4713440588977 26.1548191792082 26.2093988463085
"16" "OCN_30" "OCN" 84 1 0.56 0.075 0.594432309137118 0.602207719431706 1.04387456034473 1.00000000000001 31.3538283434688 29.253747589125 25.071416737768 24.9969561640212
"17" "OCN_30" "OCN" 84 1 0.67 0.075 0.71119579843191 0.720498521462933 1.04387456034473 1.00000000000001 31.3538283434688 29.0327373868185 24.256072161811 24.1214710652495
"18" "OCN_30" "OCN" 84 1 0.78 0.075 0.827959287726701 0.838789323494162 1.04387456034473 1 31.3538283434688 28.808147558062 23.6494806161282 23.5093229127201
"19" "OCN_30" "OCN" 84 1 0.89 0.075 0.944722777021485 0.95708012552539 1.04387456034473 1 31.3538283434688 28.5797983208018 23.183285993304 23.058387432988
"110" "OCN_30" "OCN" 84 1 1 0.075 1.06148626631628 1.07537092755662 1.04387456034473 1 31.3538283434688 28.3474943204578 22.8147513230294 22.710422193072
"111" "OCN_30" "OCN" 84 2 0.01 0.075 0.0106148626631628 0.0107537092755662 1.04387456034473 1 30.437354332288 30.4937857905455 30.1172879935567 30.5023424036518
"112" "OCN_30" "OCN" 84 2 0.12 0.075 0.127378351957953 0.129044511306794 1.04387456034473 1 30.437354332288 30.2871740265485 29.6522104407427 29.975617205191
"113" "OCN_30" "OCN" 84 2 0.23 0.075 0.244141841252744 0.247335313338022 1.04387456034473 1 30.437354332288 30.077682367264 28.6670137062058 28.9240279336628
"114" "OCN_30" "OCN" 84 2 0.34 0.075 0.360905330547534 0.36562611536925 1.04387456034473 1 30.437354332288 29.8651869207129 27.2551465458463 27.4650794809725
"115" "OCN_30" "OCN" 84 2 0.45 0.075 0.477668819842325 0.483916917400478 1.04387456034473 1 30.437354332288 29.6495546486604 25.8338294630144 25.8167017237655
"116" "OCN_30" "OCN" 84 2 0.56 0.075 0.594432309137118 0.602207719431706 1.04387456034473 1.00000000000001 30.437354332288 29.4306423924366 24.6122504948379 24.4675916940798
"117" "OCN_30" "OCN" 84 2 0.67 0.075 0.71119579843191 0.720498521462933 1.04387456034473 1.00000000000001 30.437354332288 29.2082957611428 23.7466473367406 23.6365890250251
"118" "OCN_30" "OCN" 84 2 0.78 0.075 0.827959287726701 0.838789323494162 1.04387456034473 1 30.437354332288 28.9823478577169 23.1207369072781 23.0950730445224
"119" "OCN_30" "OCN" 84 2 0.89 0.075 0.944722777021485 0.95708012552539 1.04387456034473 1 30.437354332288 28.7526178129794 22.6542867183358 22.7049121126994
"120" "OCN_30" "OCN" 84 2 1 0.075 1.06148626631628 1.07537092755662 1.04387456034473 1 30.437354332288 28.5189090910583 22.2960288579317 22.4048486737477
"121" "OCN_30" "OCN" 84 3 0.01 0.075 0.0106148626631628 0.0107537092755662 1.04387456034473 1 30.2501423238682 29.4053485957707 30.0353369663036 29.4168168756549
"122" "OCN_30" "OCN" 84 3 0.12 0.075 0.127378351957953 0.129044511306794 1.04387456034473 1 30.2501423238682 29.2061115779058 29.5724913996604 28.9984776627015
"123" "OCN_30" "OCN" 84 3 0.23 0.075 0.244141841252744 0.247335313338022 1.04387456034473 1 30.2501423238682 29.0040974589808 28.5868175194563 28.1565564518541
"124" "OCN_30" "OCN" 84 3 0.34 0.075 0.360905330547534 0.36562611536925 1.04387456034473 1 30.2501423238682 28.7991867691841 27.1592612488165 27.0253126956197
"125" "OCN_30" "OCN" 84 3 0.45 0.075 0.477668819842325 0.483916917400478 1.04387456034473 1 30.2501423238682 28.5912512189132 25.7709439000349 25.7759990480917
"126" "OCN_30" "OCN" 84 3 0.56 0.075 0.594432309137118 0.602207719431706 1.04387456034473 1.00000000000001 30.2501423238682 28.3801527593659 24.6483993762046 24.6953444854887
"127" "OCN_30" "OCN" 84 3 0.67 0.075 0.71119579843191 0.720498521462933 1.04387456034473 1.00000000000001 30.2501423238682 28.165742510432 23.8522682611413 23.9516572697741
"128" "OCN_30" "OCN" 84 3 0.78 0.075 0.827959287726701 0.838789323494162 1.04387456034473 1 30.2501423238682 27.9478595322293 23.2678178547989 23.4379631517486
"129" "OCN_30" "OCN" 84 3 0.89 0.075 0.944722777021485 0.95708012552539 1.04387456034473 1 30.2501423238682 27.7263294114752 22.8204870219735 23.0614564291785
"130" "OCN_30" "OCN" 84 3 1 0.075 1.06148626631628 1.07537092755662 1.04387456034473 1 30.2501423238682 27.5009626273977 22.4668566405417 22.7713930026475
