"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "OCN_15" "OCN" 42 1 0.01 0.15 0.0104307575698777 0.0110573120437099 1.0404080886855 1 29.6934399422936 29.8399307270441 29.8692268562059 29.8475883800399
"12" "OCN_15" "OCN" 42 1 0.12 0.15 0.125169090838532 0.132687744524519 1.0404080886855 1 29.6934399422936 29.4821798200824 29.4505868754505 29.0351070521266
"13" "OCN_15" "OCN" 42 1 0.23 0.15 0.239907424107187 0.254318177005327 1.0404080886855 1 29.6934399422936 29.1154056060689 28.5780068769483 27.5807806948631
"14" "OCN_15" "OCN" 42 1 0.34 0.15 0.354645757375841 0.375948609486136 1.0404080886855 1 29.6934399422937 28.7388887934976 27.2854892276478 25.4844158073436
"15" "OCN_15" "OCN" 42 1 0.45 0.15 0.469384090644497 0.497579041966945 1.0404080886855 1 29.6934399422936 28.3518091238442 25.9151486580816 23.3137466526624
"16" "OCN_15" "OCN" 42 1 0.56 0.15 0.58412242391315 0.619209474447754 1.0404080886855 1 29.6934399422936 27.9532243400697 24.9485145747846 22.016142974126
"17" "OCN_15" "OCN" 42 1 0.67 0.15 0.698860757181805 0.740839906928563 1.0404080886855 1 29.6934399422936 27.5420431631524 24.2330075674695 21.1501491523103
"18" "OCN_15" "OCN" 42 1 0.78 0.15 0.813599090450461 0.862470339409371 1.0404080886855 1 29.6934399422936 27.1169900478399 23.6903025837762 20.5527336059635
"19" "OCN_15" "OCN" 42 1 0.89 0.15 0.928337423719116 0.98410077189018 1.0404080886855 1 29.6934399422936 26.6765584372929 23.2673829048245 20.128015818534
"110" "OCN_15" "OCN" 42 1 1 0.15 1.04307575698777 1.10573120437099 1.0404080886855 1 29.6934399422936 26.2189475670786 22.9273623914148 19.8136593224992
"111" "OCN_15" "OCN" 42 2 0.01 0.15 0.0104307575698777 0.0110573120437099 1.0404080886855 1 31.9737055578437 28.7322977203952 29.6173743658546 28.7449945433898
"112" "OCN_15" "OCN" 42 2 0.12 0.15 0.125169090838532 0.132687744524519 1.0404080886855 1 31.9737055578437 28.3878262247141 29.1944217727832 28.1301624802875
"113" "OCN_15" "OCN" 42 2 0.23 0.15 0.239907424107187 0.254318177005327 1.0404080886855 1 31.9737055578437 28.0346663595121 28.3025597198015 26.9510206400498
"114" "OCN_15" "OCN" 42 2 0.34 0.15 0.354645757375841 0.375948609486136 1.0404080886855 1 31.9737055578437 27.6721255327759 26.861469854277 24.9611929645284
"115" "OCN_15" "OCN" 42 2 0.45 0.15 0.469384090644497 0.497579041966945 1.0404080886855 1 31.9737055578437 27.2994139332843 25.6241557735392 23.4827677495489
"116" "OCN_15" "OCN" 42 2 0.56 0.15 0.58412242391315 0.619209474447754 1.0404080886855 1 31.9737055578437 26.9156242797833 24.6143333235279 22.5283692909828
"117" "OCN_15" "OCN" 42 2 0.67 0.15 0.698860757181805 0.740839906928563 1.0404080886855 1 31.9737055578437 26.5197058006059 23.8914553729846 21.9222400926171
"118" "OCN_15" "OCN" 42 2 0.78 0.15 0.813599090450461 0.862470339409371 1.0404080886855 1 31.9737055578437 26.1104302976613 23.3873230158952 21.5068762725306
"119" "OCN_15" "OCN" 42 2 0.89 0.15 0.928337423719116 0.98410077189018 1.0404080886855 1 31.9737055578437 25.6863471362269 23.0158351184177 21.20424401143
"120" "OCN_15" "OCN" 42 2 1 0.15 1.04307575698777 1.10573120437099 1.0404080886855 1 31.9737055578437 25.2457223947234 22.7258775924467 20.9733832866999
"121" "OCN_15" "OCN" 42 3 0.01 0.15 0.0104307575698777 0.0110573120437099 1.0404080886855 1 29.8407061379463 28.5449880203237 28.756796109591 28.5442650567804
"122" "OCN_15" "OCN" 42 3 0.12 0.15 0.125169090838532 0.132687744524519 1.0404080886855 1 29.8407061379463 28.2027621804954 28.2610188319945 27.5320315364915
"123" "OCN_15" "OCN" 42 3 0.23 0.15 0.239907424107187 0.254318177005327 1.0404080886855 1 29.8407061379463 27.8519046117916 27.2225179557569 25.686203624844
"124" "OCN_15" "OCN" 42 3 0.34 0.15 0.354645757375841 0.375948609486136 1.0404080886855 1 29.8407061379463 27.4917272372993 25.631693437084 22.9328900620123
"125" "OCN_15" "OCN" 42 3 0.45 0.15 0.469384090644497 0.497579041966945 1.0404080886855 1 29.8407061379463 27.1214453946825 24.1516144383422 20.5131233145916
"126" "OCN_15" "OCN" 42 3 0.56 0.15 0.58412242391315 0.619209474447754 1.0404080886855 1 29.8407061379463 26.7401577173752 23.1384729098845 19.1736186641529
"127" "OCN_15" "OCN" 42 3 0.67 0.15 0.698860757181805 0.740839906928563 1.0404080886855 1 29.8407061379463 26.3468202838319 22.3971376385971 18.367812096209
"128" "OCN_15" "OCN" 42 3 0.78 0.15 0.813599090450461 0.862470339409371 1.0404080886855 1 29.8407061379463 25.9402129027496 21.8391328553291 17.8331947758523
"129" "OCN_15" "OCN" 42 3 0.89 0.15 0.928337423719116 0.98410077189018 1.0404080886855 1 29.8407061379463 25.5188943962881 21.4071851676247 17.4539579476706
"130" "OCN_15" "OCN" 42 3 1 0.15 1.04307575698777 1.10573120437099 1.0404080886855 1 29.8407061379463 25.081142146535 21.0625139300333 17.1705398370141
