"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "RGG_10" "RGG" 21 1 0.01 0 0.00990243566491595 0.0099136379541125 1.00368564492442 1.40958031198956 31.1724021092754 29.9985677184608 29.9996255720488 29.9992921272055
"12" "RGG_10" "RGG" 21 1 0.12 0 0.118829227978991 0.11896365544935 1.00368564492442 1.40958031198957 31.1724021092754 29.9828035848792 29.9543855402496 29.9505815167244
"13" "RGG_10" "RGG" 21 1 0.23 0 0.227756020293067 0.228013672944587 1.00368564492442 1.40958031198957 31.1724021092754 29.9670228476101 29.8534345860831 29.8462307758821
"14" "RGG_10" "RGG" 21 1 0.34 0 0.336682812607143 0.337063690439825 1.00368564492442 1.40958031198957 31.1724021092754 29.9512254540789 29.7159412516316 29.7054115869924
"15" "RGG_10" "RGG" 21 1 0.45 0 0.445609604921217 0.446113707935062 1.00368564492442 1.40958031198957 31.1724021092754 29.9354113514329 29.5576383113794 29.5443181652225
"16" "RGG_10" "RGG" 21 1 0.56 0 0.554536397235293 0.5551637254303 1.00368564492442 1.40958031198956 31.1724021092754 29.9195804865393 29.3931341512307 29.378219741648
"17" "RGG_10" "RGG" 21 1 0.67 0 0.663463189549369 0.664213742925537 1.00368564492442 1.40958031198957 31.1724021092754 29.9037328059831 29.2334448678673 29.2185615383886
"18" "RGG_10" "RGG" 21 1 0.78 0 0.772389981863443 0.773263760420775 1.00368564492442 1.40958031198957 31.1724021092754 29.8878682560651 29.0840347455941 29.0707875217417
"19" "RGG_10" "RGG" 21 1 0.89 0 0.88131677417752 0.882313777916012 1.00368564492442 1.40958031198957 31.1724021092754 29.8719867827996 28.946061079036 28.9357344160732
"110" "RGG_10" "RGG" 21 1 1 0 0.990243566491595 0.99136379541125 1.00368564492442 1.40958031198957 31.1724021092754 29.8560883319122 28.8187249197498 28.8122152340293
"111" "RGG_10" "RGG" 21 2 0.01 0 0.00990243566491595 0.0099136379541125 1.00368564492442 1.40958031198956 30.5406138926027 29.9985677184608 29.9996255720488 29.9992921272055
"112" "RGG_10" "RGG" 21 2 0.12 0 0.118829227978991 0.11896365544935 1.00368564492442 1.40958031198957 30.5406138926027 29.9828035848792 29.9543855402496 29.9505815167244
"113" "RGG_10" "RGG" 21 2 0.23 0 0.227756020293067 0.228013672944587 1.00368564492442 1.40958031198957 30.5406138926027 29.9670228476101 29.8534345860831 29.8462307758821
"114" "RGG_10" "RGG" 21 2 0.34 0 0.336682812607143 0.337063690439825 1.00368564492442 1.40958031198957 30.5406138926027 29.9512254540789 29.7159412516316 29.7054115869924
"115" "RGG_10" "RGG" 21 2 0.45 0 0.445609604921217 0.446113707935062 1.00368564492442 1.40958031198957 30.5406138926027 29.9354113514329 29.5576383113794 29.5443181652225
"116" "RGG_10" "RGG" 21 2 0.56 0 0.554536397235293 0.5551637254303 1.00368564492442 1.40958031198956 30.5406138926027 29.9195804865393 29.3931341512307 29.378219741648
"117" "RGG_10" "RGG" 21 2 0.67 0 0.663463189549369 0.664213742925537 1.00368564492442 1.40958031198957 30.5406138926027 29.9037328059831 29.2334448678673 29.2185615383886
"118" "RGG_10" "RGG" 21 2 0.78 0 0.772389981863443 0.773263760420775 1.00368564492442 1.40958031198957 30.5406138926027 29.8878682560651 29.0840347455941 29.0707875217417
"119" "RGG_10" "RGG" 21 2 0.89 0 0.88131677417752 0.882313777916012 1.00368564492442 1.40958031198957 30.5406138926027 29.8719867827996 28.946061079036 28.9357344160732
"120" "RGG_10" "RGG" 21 2 1 0 0.990243566491595 0.99136379541125 1.00368564492442 1.40958031198957 30.5406138926027 29.8560883319122 28.8187249197498 28.8122152340293
"121" "RGG_10" "RGG" 21 3 0.01 0 0.00990243566491595 0.0099136379541125 1.00368564492442 1.40958031198956 29.9176725765399 29.9985677184608 29.9996255720488 29.9992921272055
"122" "RGG_10" "RGG" 21 3 0.12 0 0.118829227978991 0.11896365544935 1.00368564492442 1.40958031198957 29.9176725765399 29.9828035848792 29.9543855402496 29.9505815167244
"123" "RGG_10" "RGG" 21 3 0.23 0 0.227756020293067 0.228013672944587 1.00368564492442 1.40958031198957 29.9176725765399 29.9670228476101 29.8534345860831 29.8462307758821
"124" "RGG_10" "RGG" 21 3 0.34 0 0.336682812607143 0.337063690439825 1.00368564492442 1.40958031198957 29.9176725765399 29.9512254540789 29.7159412516316 29.7054115869924
"125" "RGG_10" "RGG" 21 3 0.45 0 0.445609604921217 0.446113707935062 1.00368564492442 1.40958031198957 29.9176725765399 29.9354113514329 29.5576383113794 29.5443181652225
"126" "RGG_10" "RGG" 21 3 0.56 0 0.554536397235293 0.5551637254303 1.00368564492442 1.40958031198956 29.9176725765399 29.9195804865393 29.3931341512307 29.378219741648
"127" "RGG_10" "RGG" 21 3 0.67 0 0.663463189549369 0.664213742925537 1.00368564492442 1.40958031198957 29.9176725765399 29.9037328059831 29.2334448678673 29.2185615383886
"128" "RGG_10" "RGG" 21 3 0.78 0 0.772389981863443 0.773263760420775 1.00368564492442 1.40958031198957 29.9176725765399 29.8878682560651 29.0840347455941 29.0707875217417
"129" "RGG_10" "RGG" 21 3 0.89 0 0.88131677417752 0.882313777916012 1.00368564492442 1.40958031198957 29.9176725765399 29.8719867827996 28.946061079036 28.9357344160732
"130" "RGG_10" "RGG" 21 3 1 0 0.990243566491595 0.99136379541125 1.00368564492442 1.40958031198957 29.9176725765399 29.8560883319122 28.8187249197498 28.8122152340293
