"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "ER_4" "Erdos-Renyi" 21 1 0.01 0.15 0.0103955814562913 0.0104609646457384 1.01134946740123 1.31401729479308 30.2828397290854 30.0789486246709 29.7764351651543 30.0799017925052
"12" "ER_4" "Erdos-Renyi" 21 1 0.12 0.15 0.124746977475496 0.125531575748861 1.01134946740123 1.31401729479309 30.2828397290854 30.0178748842616 29.6074292015458 29.8843792329687
"13" "ER_4" "Erdos-Renyi" 21 1 0.23 0.15 0.239098373494701 0.240602186851984 1.01134946740123 1.31401729479309 30.2828397290854 29.9565510503988 29.2534035648429 29.5109405570376
"14" "ER_4" "Erdos-Renyi" 21 1 0.34 0.15 0.353449769513906 0.355672797955106 1.01134946740123 1.31401729479309 30.2828397290854 29.8949740253314 28.7729111370504 29.0126804739393
"15" "ER_4" "Erdos-Renyi" 21 1 0.45 0.15 0.467801165533111 0.470743409058229 1.01134946740123 1.31401729479309 30.2828397290854 29.833140646825 28.2100753535609 28.4314859606276
"16" "ER_4" "Erdos-Renyi" 21 1 0.56 0.15 0.582152561552317 0.585814020161352 1.01134946740123 1.31401729479309 30.2828397290854 29.7710476862676 27.6505602741633 27.8582641616241
"17" "ER_4" "Erdos-Renyi" 21 1 0.67 0.15 0.696503957571522 0.700884631264475 1.01134946740123 1.31401729479308 30.2828397290854 29.7086918467022 27.1640948020097 27.3662360540005
"18" "ER_4" "Erdos-Renyi" 21 1 0.78 0.15 0.810855353590727 0.815955242367597 1.01134946740123 1.31401729479309 30.2828397290854 29.6460697607838 26.7489838896881 26.9490481526121
"19" "ER_4" "Erdos-Renyi" 21 1 0.89 0.15 0.925206749609932 0.93102585347072 1.01134946740123 1.31401729479308 30.2828397290854 29.5831779886575 26.388931624659 26.5868272316873
"110" "ER_4" "Erdos-Renyi" 21 1 1 0.15 1.03955814562913 1.04609646457384 1.01134946740123 1.31401729479308 30.2828397290854 29.5200130157539 26.0726050327943 26.267261304309
