"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "OCN_20" "OCN" 42 1 0.01 0.075 0.0102120040034877 0.0102886655765387 1.02752728486897 1 31.0808946140981 30.2907131426587 30.0341806121283 30.2948705002917
"12" "OCN_20" "OCN" 42 1 0.12 0.075 0.122544048041852 0.123463986918465 1.02752728486897 1 31.0808946140981 30.170192384073 29.6771063448522 29.8421222848005
"13" "OCN_20" "OCN" 42 1 0.23 0.075 0.234876092080216 0.23663930826039 1.02752728486897 1 31.0808946140982 30.0486966698245 28.9192508147657 28.8984132613103
"14" "OCN_20" "OCN" 42 1 0.34 0.075 0.347208136118579 0.349814629602318 1.02752728486897 1 31.0808946140981 29.9262019492117 27.805548997871 27.5018016435268
"15" "OCN_20" "OCN" 42 1 0.45 0.075 0.459540180156944 0.462989950944242 1.02752728486897 1 31.0808946140981 29.8026831661396 26.6541909736437 26.2150556221388
"16" "OCN_20" "OCN" 42 1 0.56 0.075 0.571872224195308 0.576165272286168 1.02752728486897 1 31.0808946140982 29.6781141992765 25.6850127032859 25.1752687298661
"17" "OCN_20" "OCN" 42 1 0.67 0.075 0.684204268233672 0.689340593628094 1.02752728486897 1 31.0808946140981 29.5524677975522 24.9295099323373 24.3747403350669
"18" "OCN_20" "OCN" 42 1 0.78 0.075 0.796536312272035 0.802515914970022 1.02752728486897 1 31.0808946140981 29.4257155105463 24.3371189074618 23.7628734586169
"19" "OCN_20" "OCN" 42 1 0.89 0.075 0.908868356310402 0.915691236311946 1.02752728486897 1 31.0808946140981 29.297827613262 23.8666997869648 23.2913207255305
"110" "OCN_20" "OCN" 42 1 1 0.075 1.02120040034876 1.02886655765387 1.02752728486897 1 31.0808946140982 29.1687730247224 23.4878407273154 22.921219053317
"111" "OCN_20" "OCN" 42 2 0.01 0.075 0.0102120040034877 0.0102886655765387 1.02752728486897 1 29.6611896748813 29.896426693521 29.9644259265981 29.9003474517217
"112" "OCN_20" "OCN" 42 2 0.12 0.075 0.122544048041852 0.123463986918465 1.02752728486897 1 29.6611896748813 29.777474722759 29.5755821619385 29.4176235480188
"113" "OCN_20" "OCN" 42 2 0.23 0.075 0.234876092080216 0.23663930826039 1.02752728486897 1 29.6611896748812 29.6575604870822 28.7424938970864 28.3869455782811
"114" "OCN_20" "OCN" 42 2 0.34 0.075 0.347208136118579 0.349814629602318 1.02752728486897 1 29.6611896748813 29.5366602488508 27.5143330359879 26.8422975185011
"115" "OCN_20" "OCN" 42 2 0.45 0.075 0.459540180156944 0.462989950944242 1.02752728486897 1 29.6611896748813 29.4147492781189 26.3011798115077 25.5196203229717
"116" "OCN_20" "OCN" 42 2 0.56 0.075 0.571872224195308 0.576165272286168 1.02752728486897 1 29.6611896748813 29.291801793569 25.1682406630868 24.3297216733858
"117" "OCN_20" "OCN" 42 2 0.67 0.075 0.684204268233672 0.689340593628094 1.02752728486897 1 29.6611896748813 29.1677908988514 24.3136114513602 23.4524912553739
"118" "OCN_20" "OCN" 42 2 0.78 0.075 0.796536312272035 0.802515914970022 1.02752728486897 1 29.6611896748813 29.0426885138774 23.6781399711539 22.8224397649342
"119" "OCN_20" "OCN" 42 2 0.89 0.075 0.908868356310402 0.915691236311946 1.02752728486897 1 29.6611896748813 28.916465300573 23.1869440997454 22.3501326470832
"120" "OCN_20" "OCN" 42 2 1 0.075 1.02120040034876 1.02886655765387 1.02752728486897 1 29.6611896748813 28.7890905825343 22.7951890734524 21.982683438384
"121" "OCN_20" "OCN" 42 3 0.01 0.075 0.0102120040034877 0.0102886655765387 1.02752728486897 1 30.5396292651545 30.0633270689918 30.1166158822397 30.0684740967884
"122" "OCN_20" "OCN" 42 3 0.12 0.075 0.122544048041852 0.123463986918465 1.02752728486897 1 30.5396292651545 29.943711034635 29.7580187583708 29.6357702242872
"123" "OCN_20" "OCN" 42 3 0.23 0.075 0.234876092080216 0.23663930826039 1.02752728486897 1 30.5396292651545 29.8231273634045 29.0020899667996 28.7379481177909
"124" "OCN_20" "OCN" 42 3 0.34 0.075 0.347208136118579 0.349814629602318 1.02752728486897 1 30.5396292651545 29.7015521851422 27.9212029658001 27.4560957369632
"125" "OCN_20" "OCN" 42 3 0.45 0.075 0.459540180156944 0.462989950944242 1.02752728486897 1 30.5396292651545 29.5789606318444 26.7215033129276 26.1429960581408
"126" "OCN_20" "OCN" 42 3 0.56 0.075 0.571872224195308 0.576165272286168 1.02752728486897 1 30.5396292651545 29.4553267782664 25.6540519427792 25.0286201023917
"127" "OCN_20" "OCN" 42 3 0.67 0.075 0.684204268233672 0.689340593628094 1.02752728486897 1 30.5396292651545 29.3306235779063 24.8081219980508 24.1587631255493
"128" "OCN_20" "OCN" 42 3 0.78 0.075 0.796536312272035 0.802515914970022 1.02752728486897 1 30.5396292651545 29.2048227939149 24.1543629600493 23.5027082167013
"129" "OCN_20" "OCN" 42 3 0.89 0.075 0.908868356310402 0.915691236311946 1.02752728486897 1 30.5396292651545 29.0778949244351 23.6430414384362 23.0002595833791
"130" "OCN_20" "OCN" 42 3 1 0.075 1.02120040034876 1.02886655765387 1.02752728486897 1 30.5396292651545 28.9498091218081 23.234650198315 22.6042583032419
