"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "OCN_10" "OCN" 21 1 0.01 0 0.01034767451572 0.0105745193448539 1.03845048310495 1 29.5872523083045 29.9809847411346 29.9953783466252 29.988475747846
"12" "OCN_10" "OCN" 21 1 0.12 0 0.124172094188641 0.126894232138247 1.03845048310495 1 29.5872523083045 29.7702012772102 29.5604875739869 29.45284242985
"13" "OCN_10" "OCN" 21 1 0.23 0 0.237996513861561 0.24321394493164 1.03845048310495 1 29.5872523083045 29.5563658831624 28.7046760303602 28.4632018898084
"14" "OCN_10" "OCN" 21 1 0.34 0 0.351820933534482 0.359533657725033 1.03845048310495 1 29.5872523083045 29.3393420239455 27.5614336282975 27.1781223018712
"15" "OCN_10" "OCN" 21 1 0.45 0 0.465645353207402 0.475853370518426 1.03845048310495 1 29.5872523083045 29.1189826699689 26.2691916904111 25.7885880075436
"16" "OCN_10" "OCN" 21 1 0.56 0 0.579469772880324 0.592173083311819 1.03845048310495 1 29.5872523083045 28.8951291318244 25.1256235219449 24.6224238969656
"17" "OCN_10" "OCN" 21 1 0.67 0 0.693294192553243 0.708492796105211 1.03845048310495 1 29.5872523083045 28.6676097231838 24.2584185788102 23.7402943770227
"18" "OCN_10" "OCN" 21 1 0.78 0 0.807118612226163 0.824812508898604 1.03845048310495 1 29.5872523083045 28.4362382198464 23.6062284908245 23.0736064519471
"19" "OCN_10" "OCN" 21 1 0.89 0 0.920943031899083 0.941132221691997 1.03845048310495 1 29.5872523083045 28.2008120756131 23.1029891695261 22.5634266076909
"110" "OCN_10" "OCN" 21 1 1 0 1.03476745157201 1.05745193448539 1.03845048310495 1 29.5872523083045 27.9611103463727 22.705019673853 22.1664203737902
"111" "OCN_10" "OCN" 21 2 0.01 0 0.01034767451572 0.0105745193448539 1.03845048310495 1 29.4464113956362 29.9809847411346 29.9953783466252 29.988475747846
"112" "OCN_10" "OCN" 21 2 0.12 0 0.124172094188641 0.126894232138247 1.03845048310495 1 29.4464113956362 29.7702012772102 29.5604875739869 29.45284242985
"113" "OCN_10" "OCN" 21 2 0.23 0 0.237996513861561 0.24321394493164 1.03845048310495 1 29.4464113956362 29.5563658831624 28.7046760303602 28.4632018898084
"114" "OCN_10" "OCN" 21 2 0.34 0 0.351820933534482 0.359533657725033 1.03845048310495 1 29.4464113956362 29.3393420239455 27.5614336282975 27.1781223018712
"115" "OCN_10" "OCN" 21 2 0.45 0 0.465645353207402 0.475853370518426 1.03845048310495 1 29.4464113956362 29.1189826699689 26.2691916904111 25.7885880075436
"116" "OCN_10" "OCN" 21 2 0.56 0 0.579469772880324 0.592173083311819 1.03845048310495 1 29.4464113956362 28.8951291318244 25.1256235219449 24.6224238969656
"117" "OCN_10" "OCN" 21 2 0.67 0 0.693294192553243 0.708492796105211 1.03845048310495 1 29.4464113956362 28.6676097231838 24.2584185788102 23.7402943770227
"118" "OCN_10" "OCN" 21 2 0.78 0 0.807118612226163 0.824812508898604 1.03845048310495 1 29.4464113956362 28.4362382198464 23.6062284908245 23.0736064519471
"119" "OCN_10" "OCN" 21 2 0.89 0 0.920943031899083 0.941132221691997 1.03845048310495 1 29.4464113956362 28.2008120756131 23.1029891695261 22.5634266076909
"120" "OCN_10" "OCN" 21 2 1 0 1.03476745157201 1.05745193448539 1.03845048310495 1 29.4464113956362 27.9611103463727 22.705019673853 22.1664203737902
"121" "OCN_10" "OCN" 21 3 0.01 0 0.01034767451572 0.0105745193448539 1.03845048310495 1 29.9590115876661 29.9809847411346 29.9953783466252 29.988475747846
"122" "OCN_10" "OCN" 21 3 0.12 0 0.124172094188641 0.126894232138247 1.03845048310495 1 29.959011587666 29.7702012772102 29.5604875739869 29.45284242985
"123" "OCN_10" "OCN" 21 3 0.23 0 0.237996513861561 0.24321394493164 1.03845048310495 1 29.9590115876661 29.5563658831624 28.7046760303602 28.4632018898084
"124" "OCN_10" "OCN" 21 3 0.34 0 0.351820933534482 0.359533657725033 1.03845048310495 1 29.9590115876661 29.3393420239455 27.5614336282975 27.1781223018712
"125" "OCN_10" "OCN" 21 3 0.45 0 0.465645353207402 0.475853370518426 1.03845048310495 1 29.959011587666 29.1189826699689 26.2691916904111 25.7885880075436
"126" "OCN_10" "OCN" 21 3 0.56 0 0.579469772880324 0.592173083311819 1.03845048310495 1 29.9590115876661 28.8951291318244 25.1256235219449 24.6224238969656
"127" "OCN_10" "OCN" 21 3 0.67 0 0.693294192553243 0.708492796105211 1.03845048310495 1 29.959011587666 28.6676097231838 24.2584185788102 23.7402943770227
"128" "OCN_10" "OCN" 21 3 0.78 0 0.807118612226163 0.824812508898604 1.03845048310495 1 29.9590115876661 28.4362382198464 23.6062284908245 23.0736064519471
"129" "OCN_10" "OCN" 21 3 0.89 0 0.920943031899083 0.941132221691997 1.03845048310495 1 29.959011587666 28.2008120756131 23.1029891695261 22.5634266076909
"130" "OCN_10" "OCN" 21 3 1 0 1.03476745157201 1.05745193448539 1.03845048310495 1 29.9590115876661 27.9611103463727 22.705019673853 22.1664203737902
