"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "ER_19" "Erdos-Renyi" 42 1 0.01 0 0.009995886841685 0.00999813233759016 1.00637002298745 1.40079974728218 30.5342150216842 29.9980218547029 29.998759615893 29.9986832007053
"12" "ER_19" "Erdos-Renyi" 42 1 0.12 0 0.11995064210022 0.119977588051082 1.00637002298745 1.4007997472822 30.5342150216842 29.9762450116759 29.8590864012571 29.8572806082464
"13" "ER_19" "Erdos-Renyi" 42 1 0.23 0 0.229905397358755 0.229957043764574 1.00637002298745 1.40079974728219 30.5342150216842 29.9544364569631 29.5541591516912 29.5497932219442
"14" "ER_19" "Erdos-Renyi" 42 1 0.34 0 0.339860152617291 0.339936499478065 1.00637002298746 1.40079974728219 30.5342150216842 29.932596051623 29.1162550312023 29.1091144754765
"15" "ER_19" "Erdos-Renyi" 42 1 0.45 0 0.449814907875826 0.449915955191557 1.00637002298746 1.40079974728219 30.5342150216842 29.9107236556965 28.5523927700148 28.5419045659813
"16" "ER_19" "Erdos-Renyi" 42 1 0.56 0 0.559769663134362 0.559895410905049 1.00637002298745 1.40079974728219 30.5342150216842 29.8888191281965 27.996195354154 27.9827232615915
"17" "ER_19" "Erdos-Renyi" 42 1 0.67 0 0.669724418392894 0.66987486661854 1.00637002298745 1.40079974728218 30.5342150216842 29.8668823270969 27.5476709409391 27.5315022535999
"18" "ER_19" "Erdos-Renyi" 42 1 0.78 0 0.779679173651431 0.779854322332032 1.00637002298745 1.40079974728219 30.5342150216842 29.844913109323 27.1556475081686 27.1359841939547
"19" "ER_19" "Erdos-Renyi" 42 1 0.89 0 0.889633928909967 0.889833778045524 1.00637002298745 1.40079974728219 30.5342150216842 29.822911330739 26.8073794986797 26.7841113512795
"110" "ER_19" "Erdos-Renyi" 42 1 1 0 0.999588684168502 0.999813233759016 1.00637002298745 1.40079974728219 30.5342150216842 29.8008768461383 26.5099556722777 26.4840990685137
"111" "ER_19" "Erdos-Renyi" 42 2 0.01 0 0.009995886841685 0.00999813233759016 1.00637002298745 1.40079974728218 29.7695347752035 29.9980218547029 29.998759615893 29.9986832007053
"112" "ER_19" "Erdos-Renyi" 42 2 0.12 0 0.11995064210022 0.119977588051082 1.00637002298745 1.4007997472822 29.7695347752035 29.9762450116759 29.8590864012571 29.8572806082464
"113" "ER_19" "Erdos-Renyi" 42 2 0.23 0 0.229905397358755 0.229957043764574 1.00637002298745 1.40079974728219 29.7695347752035 29.9544364569631 29.5541591516912 29.5497932219442
"114" "ER_19" "Erdos-Renyi" 42 2 0.34 0 0.339860152617291 0.339936499478065 1.00637002298746 1.40079974728219 29.7695347752035 29.932596051623 29.1162550312023 29.1091144754765
"115" "ER_19" "Erdos-Renyi" 42 2 0.45 0 0.449814907875826 0.449915955191557 1.00637002298746 1.40079974728219 29.7695347752035 29.9107236556965 28.5523927700148 28.5419045659813
"116" "ER_19" "Erdos-Renyi" 42 2 0.56 0 0.559769663134362 0.559895410905049 1.00637002298745 1.40079974728219 29.7695347752035 29.8888191281965 27.996195354154 27.9827232615915
"117" "ER_19" "Erdos-Renyi" 42 2 0.67 0 0.669724418392894 0.66987486661854 1.00637002298745 1.40079974728218 29.7695347752035 29.8668823270969 27.5476709409391 27.5315022535999
"118" "ER_19" "Erdos-Renyi" 42 2 0.78 0 0.779679173651431 0.779854322332032 1.00637002298745 1.40079974728219 29.7695347752035 29.844913109323 27.1556475081686 27.1359841939547
