"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "ER_9" "Erdos-Renyi" 21 1 0.01 0.15 0.0101794964136141 0.0101161842816289 1.01365096474048 1.33585734760903 29.4431819781262 29.3364885099243 29.3370059806524 29.3398861287134
"12" "ER_9" "Erdos-Renyi" 21 1 0.12 0.15 0.122153956963369 0.121394211379547 1.01365096474048 1.33585734760903 29.4431819781262 29.3123304471306 29.2423461483005 29.263865359104
"13" "ER_9" "Erdos-Renyi" 21 1 0.23 0.15 0.234128417513125 0.232672238477465 1.01365096474048 1.33585734760903 29.4431819781262 29.288132462349 29.0574183951053 29.0949953789763
"14" "ER_9" "Erdos-Renyi" 21 1 0.34 0.15 0.34610287806288 0.343950265575384 1.01365096474048 1.33585734760903 29.4431819781262 29.2638943570059 28.8227315316085 28.8777705747225
"15" "ER_9" "Erdos-Renyi" 21 1 0.45 0.15 0.458077338612636 0.455228292673302 1.01365096474047 1.33585734760903 29.4431819781262 29.2396159308757 28.5564458554816 28.6322827123599
"16" "ER_9" "Erdos-Renyi" 21 1 0.56 0.15 0.570051799162391 0.56650631977122 1.01365096474048 1.33585734760903 29.4431819781262 29.2152969820621 28.2696223701225 28.3707731900509
"17" "ER_9" "Erdos-Renyi" 21 1 0.67 0.15 0.682026259712144 0.677784346869138 1.01365096474048 1.33585734760903 29.4431819781262 29.1909373069781 27.9700329131023 28.1014955703486
"18" "ER_9" "Erdos-Renyi" 21 1 0.78 0.15 0.794000720261901 0.789062373967056 1.01365096474048 1.33585734760902 29.4431819781262 29.1665367003265 27.6665342266057 27.831764817663
"19" "ER_9" "Erdos-Renyi" 21 1 0.89 0.15 0.905975180811657 0.900340401064975 1.01365096474048 1.33585734760903 29.4431819781262 29.1420949550792 27.3781179395397 27.5747089062049
"110" "ER_9" "Erdos-Renyi" 21 1 1 0.15 1.01794964136141 1.01161842816289 1.01365096474048 1.33585734760903 29.4431819781262 29.117611862457 27.1260166354762 27.3453078994285
"111" "ER_9" "Erdos-Renyi" 21 2 0.01 0.15 0.0101794964136141 0.0101161842816289 1.01365096474048 1.33585734760903 29.7089741266305 31.5160525992479 31.0766822324645 31.5165897105208
"112" "ER_9" "Erdos-Renyi" 21 2 0.12 0.15 0.122153956963369 0.121394211379547 1.01365096474048 1.33585734760903 29.7089741266305 31.4900997052113 30.9848142881148 31.4163652693922
"113" "ER_9" "Erdos-Renyi" 21 2 0.23 0.15 0.234128417513125 0.232672238477465 1.01365096474048 1.33585734760903 29.7089741266305 31.4641039231697 30.7856346250216 31.2139209777706
"114" "ER_9" "Erdos-Renyi" 21 2 0.34 0.15 0.34610287806288 0.343950265575384 1.01365096474048 1.33585734760903 29.7089741266305 31.438065039796 30.5022857583233 30.9330144258622
"115" "ER_9" "Erdos-Renyi" 21 2 0.45 0.15 0.458077338612636 0.455228292673302 1.01365096474047 1.33585734760903 29.7089741266305 31.4119828399892 30.1486604446146 30.5877745875804
"116" "ER_9" "Erdos-Renyi" 21 2 0.56 0.15 0.570051799162391 0.56650631977122 1.01365096474048 1.33585734760903 29.7089741266305 31.3858571068529 29.7755250001586 30.228170244728
"117" "ER_9" "Erdos-Renyi" 21 2 0.67 0.15 0.682026259712144 0.677784346869138 1.01365096474048 1.33585734760903 29.7089741266305 31.3596876216744 29.4455613587495 29.9156712937298
"118" "ER_9" "Erdos-Renyi" 21 2 0.78 0.15 0.794000720261901 0.789062373967056 1.01365096474048 1.33585734760902 29.7089741266305 31.3334741639041 29.160020450655 29.6501326550287
"119" "ER_9" "Erdos-Renyi" 21 2 0.89 0.15 0.905975180811657 0.900340401064975 1.01365096474048 1.33585734760903 29.7089741266305 31.3072165111325 28.9101103512078 29.41846008627
"120" "ER_9" "Erdos-Renyi" 21 2 1 0.15 1.01794964136141 1.01161842816289 1.01365096474048 1.33585734760903 29.7089741266305 31.2809144390691 28.6995199978007 29.2194639034812
"121" "ER_9" "Erdos-Renyi" 21 3 0.01 0.15 0.0101794964136141 0.0101161842816289 1.01365096474048 1.33585734760903 31.0593226550454 27.6181700192603 27.5189271573283 27.6208016924047
"122" "ER_9" "Erdos-Renyi" 21 3 0.12 0.15 0.122153956963369 0.121394211379547 1.01365096474048 1.33585734760903 31.0593226550454 27.5954269603783 27.4728984377245 27.5874288892181
"123" "ER_9" "Erdos-Renyi" 21 3 0.23 0.15 0.234128417513125 0.232672238477465 1.01365096474048 1.33585734760903 31.0593226550454 27.5726463178486 27.3731367634929 27.5045648097767
"124" "ER_9" "Erdos-Renyi" 21 3 0.34 0.15 0.34610287806288 0.343950265575384 1.01365096474048 1.33585734760903 31.0593226550454 27.5498279047285 27.2347685698352 27.388591273113
"125" "ER_9" "Erdos-Renyi" 21 3 0.45 0.15 0.458077338612636 0.455228292673302 1.01365096474047 1.33585734760903 31.0593226550454 27.5269715325203 27.0631319987564 27.2466279314199
"126" "ER_9" "Erdos-Renyi" 21 3 0.56 0.15 0.570051799162391 0.56650631977122 1.01365096474048 1.33585734760903 31.0593226550454 27.5040770111533 26.8561715416879 27.0796534060862
"127" "ER_9" "Erdos-Renyi" 21 3 0.67 0.15 0.682026259712144 0.677784346869138 1.01365096474048 1.33585734760903 31.0593226550454 27.4811441489651 26.6019482851131 26.8808742629417
"128" "ER_9" "Erdos-Renyi" 21 3 0.78 0.15 0.794000720261901 0.789062373967056 1.01365096474048 1.33585734760902 31.0593226550454 27.4581727526833 26.317040054994 26.6601302642213
"129" "ER_9" "Erdos-Renyi" 21 3 0.89 0.15 0.905975180811657 0.900340401064975 1.01365096474048 1.33585734760903 31.0593226550454 27.4351626274061 26.1135371224146 26.491477110289
"130" "ER_9" "Erdos-Renyi" 21 3 1 0.15 1.01794964136141 1.01161842816289 1.01365096474048 1.33585734760903 31.0593226550454 27.412113576583 25.9794923918136 26.3702582425483
