"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "OCN_1" "OCN" 21 1 0.01 0.15 0.0098146068121069 0.0105122344161995 1.05403841983413 1 29.2049660107714 30.7170403457473 29.7018406413161 30.7279144145039
"12" "OCN_1" "OCN" 21 1 0.12 0.15 0.117775281745283 0.126146812994394 1.05403841983413 1 29.2049660107715 30.281566587953 29.2453452140036 29.8875700972442
"13" "OCN_1" "OCN" 21 1 0.23 0.15 0.225735956678459 0.241781391572588 1.05403841983413 1 29.2049660107715 29.832979596201 28.2728998347385 28.3060236102055
"14" "OCN_1" "OCN" 21 1 0.34 0.15 0.333696631611634 0.357415970150783 1.05403841983413 1 29.2049660107715 29.3700181875826 26.5761474439352 25.457118929634
"15" "OCN_1" "OCN" 21 1 0.45 0.15 0.441657306544811 0.473050548728976 1.05403841983413 1 29.2049660107715 28.8912050425139 25.1370521855023 23.5638642756472
"16" "OCN_1" "OCN" 21 1 0.56 0.15 0.549617981477986 0.588685127307176 1.05403841983413 1 29.2049660107714 28.3947909937246 24.1650559827632 22.3663903779567
"17" "OCN_1" "OCN" 21 1 0.67 0.15 0.657578656411163 0.704319705885368 1.05403841983413 1 29.2049660107714 27.8786793689399 23.4462229671352 21.5223138957642
"18" "OCN_1" "OCN" 21 1 0.78 0.15 0.765539331344339 0.81995428446356 1.05403841983413 1 29.2049660107715 27.3403208955822 22.8924130202719 20.8813811899399
"19" "OCN_1" "OCN" 21 1 0.89 0.15 0.873500006277515 0.935588863041751 1.05403841983413 1 29.2049660107715 26.7765638258082 22.4518732492093 20.3732441252134
"110" "OCN_1" "OCN" 21 1 1 0.15 0.981460681210691 1.05122344161995 1.05403841983413 1 29.2049660107715 26.1834334879419 22.0917993341014 19.9597623002648
"111" "OCN_1" "OCN" 21 2 0.01 0.15 0.0098146068121069 0.0105122344161995 1.05403841983413 1 30.3664766453158 29.6208789139187 29.7956101249826 29.6323019843035
"112" "OCN_1" "OCN" 21 2 0.12 0.15 0.117775281745283 0.126146812994394 1.05403841983413 1 30.3664766453157 29.2009453752503 29.381904734277 28.8754233184988
"113" "OCN_1" "OCN" 21 2 0.23 0.15 0.225735956678459 0.241781391572588 1.05403841983413 1 30.3664766453157 28.7683665585582 28.4643488962223 27.4460314677654
"114" "OCN_1" "OCN" 21 2 0.34 0.15 0.333696631611634 0.357415970150783 1.05403841983413 1 30.3664766453157 28.3219262872251 26.8340150165202 25.048544714621
"115" "OCN_1" "OCN" 21 2 0.45 0.15 0.441657306544811 0.473050548728976 1.05403841983413 1 30.3664766453156 27.8601999609636 25.4810715329555 23.0294579457765
"116" "OCN_1" "OCN" 21 2 0.56 0.15 0.549617981477986 0.588685127307176 1.05403841983413 1 30.3664766453158 27.3815008328948 24.6116396506469 21.9280623434971
"117" "OCN_1" "OCN" 21 2 0.67 0.15 0.657578656411163 0.704319705885368 1.05403841983413 1 30.3664766453157 26.8838070521226 23.9794610687852 21.240315592734
"118" "OCN_1" "OCN" 21 2 0.78 0.15 0.765539331344339 0.81995428446356 1.05403841983413 1 30.3664766453157 26.3646603188398 23.5023925872489 20.7521758850508
"119" "OCN_1" "OCN" 21 2 0.89 0.15 0.873500006277515 0.935588863041751 1.05403841983413 1 30.3664766453156 25.821021357772 23.1290423814414 20.3779352987997
"120" "OCN_1" "OCN" 21 2 1 0.15 0.981460681210691 1.05122344161995 1.05403841983413 1 30.3664766453157 25.2490573364875 22.8262634011089 20.0769167673337
"121" "OCN_1" "OCN" 21 3 0.01 0.15 0.0098146068121069 0.0105122344161995 1.05403841983413 1 27.8475552373013 29.1436271005659 30.2995631255384 29.1546271421338
"122" "OCN_1" "OCN" 21 3 0.12 0.15 0.117775281745283 0.126146812994394 1.05403841983413 1 27.8475552373014 28.7304595340821 29.7825205731932 28.377383482446
"123" "OCN_1" "OCN" 21 3 0.23 0.15 0.225735956678459 0.241781391572588 1.05403841983413 1 27.8475552373014 28.3048504303848 28.6778100772029 26.8773620823452
"124" "OCN_1" "OCN" 21 3 0.34 0.15 0.333696631611634 0.357415970150783 1.05403841983413 1 27.8475552373014 27.8656032079031 26.7067305910884 24.064252618617
"125" "OCN_1" "OCN" 21 3 0.45 0.15 0.441657306544811 0.473050548728976 1.05403841983413 1 27.8475552373014 27.4113162195194 24.8930417623442 22.1146808274705
"126" "OCN_1" "OCN" 21 3 0.56 0.15 0.549617981477986 0.588685127307176 1.05403841983413 1 27.8475552373013 26.9403298952329 23.9067357881778 21.1135857006661
"127" "OCN_1" "OCN" 21 3 0.67 0.15 0.657578656411163 0.704319705885368 1.05403841983413 1 27.8475552373013 26.4506549602234 23.2542515951082 20.4932078401915
"128" "OCN_1" "OCN" 21 3 0.78 0.15 0.765539331344339 0.81995428446356 1.05403841983413 1 27.8475552373014 25.939872722828 22.7607119236532 20.0509489673867
"129" "OCN_1" "OCN" 21 3 0.89 0.15 0.873500006277515 0.935588863041751 1.05403841983413 1 27.8475552373014 25.4049928765971 22.3640693737829 19.7064108229435
"130" "OCN_1" "OCN" 21 3 1 0.15 0.981460681210691 1.05122344161995 1.05403841983413 1 27.8475552373014 24.8422443437229 22.0364994841937 19.4240732966649
