"network_id" "kind" "rep" "noise_amplitude" "noise_cov_dist" "alpha" "alpha.out" "beta" "odsr.cov" "eigen.ratio" "R_init" "R_mean" "x_bar_mean" "x_reduced_mean" "R_sd" "x_bar_sd" "x_reduced_sd" "R_acf_1" "x_bar_acf_1" "x_reduced_acf_1"
"2" "RGG_6" "RGG" 1 0.01 0.05 0.0984316863692759 0.0988830056984277 1.00618900142871 0.000608697585684957 1.62514403862259 30.8207881520512 29.9687997514209 29.6609238371519 29.6445210896678 0.537437000036292 0.51199363182184 0.516345695155906 0.47627813765261 0.338301953916829 0.337794265789302
"3" "RGG_6" "RGG" 1 0.01 0.2 0.0984316863692759 0.0988830056984277 1.00618900142871 0.00238419770895441 1.62514403862259 30.8207881520512 29.78836877287 29.5507257533682 29.5379899219476 1.07796285211533 1.00906630719789 1.01262667209106 0.419018338416655 0.363029967151349 0.361486587168897
"4" "RGG_6" "RGG" 1 0.01 0.4 0.0984316863692759 0.0988830056984277 1.00618900142871 0.00528430269959137 1.62514403862259 30.8207881520512 29.9081987851161 29.6306260052111 29.6183600489852 1.50512188550302 1.48512020978778 1.49150577797137 0.317290893103421 0.345552322602108 0.347409669483413
"5" "RGG_6" "RGG" 1 0.0325 0.05 0.0984316863692759 0.0988830056984277 1.00618900142871 0.00197826715347611 1.62514403862259 30.8207881520512 29.8773732832612 28.9285265837396 28.9086041258067 1.00143300388893 0.962114165411969 0.967189689327295 0.384991474746102 0.445919524219682 0.445130587810823
"6" "RGG_6" "RGG" 1 0.0325 0.2 0.0984316863692759 0.0988830056984277 1.00618900142871 0.00774864255410182 1.62514403862259 30.8207881520512 29.7607616472391 28.9663945381488 28.9503642633417 1.90440316642151 1.82645101930533 1.83817930996553 0.389722690090074 0.352650055766112 0.35103396472236
"7" "RGG_6" "RGG" 1 0.0325 0.4 0.0984316863692759 0.0988830056984277 1.00618900142871 0.0171739837736719 1.62514403862259 30.8207881520512 29.3855455205573 29.1877838842416 29.1730330623039 2.73993346367445 2.79392877672452 2.8053696840696 0.352909755953156 0.410975373874088 0.411388482917886
"8" "RGG_6" "RGG" 1 0.055 0.05 0.0984316863692759 0.0988830056984277 1.00618900142871 0.00334783672126727 1.62514403862259 30.8207881520512 29.8271158050334 28.1466232594383 28.1269120958737 1.25868394531617 1.2322590513039 1.24518859921424 0.385831432814467 0.429927945300535 0.432678749133969
"9" "RGG_6" "RGG" 1 0.055 0.2 0.0984316863692759 0.0988830056984277 1.00618900142871 0.0131130873992492 1.62514403862259 30.8207881520512 29.5748388069006 28.1199217807762 28.0973555993932 2.62115292228267 2.61151617248584 2.63511325267025 0.420655586796061 0.490353477330434 0.493080985428802
"10" "RGG_6" "RGG" 1 0.055 0.4 0.0984316863692759 0.0988830056984277 1.00618900142871 0.0290636648477525 1.62514403862259 30.8207881520512 28.9757901500023 27.9580193898597 27.947843490627 3.50044554303222 3.60029897719358 3.61818961462291 0.407418482197271 0.496735786267382 0.496903965863099
"11" "RGG_6" "RGG" 1 0.0775 0.05 0.0984316863692759 0.0988830056984277 1.00618900142871 0.00471740628905842 1.62514403862259 30.8207881520512 29.9509462865665 27.5307504136894 27.52074888309 1.41469108264704 1.57344400249002 1.57470901457454 0.383404386818054 0.531533038470701 0.533223721224114
"12" "RGG_6" "RGG" 1 0.0775 0.2 0.0984316863692759 0.0988830056984277 1.00618900142871 0.0184775322443967 1.62514403862259 30.8207881520512 29.1945967069895 27.3554841299425 27.3378690030513 3.0536101599165 2.89543717378149 2.90974239904969 0.389105830101785 0.402487386317693 0.402562845070377
"13" "RGG_6" "RGG" 1 0.0775 0.4 0.0984316863692759 0.0988830056984277 1.00618900142871 0.0409533459218331 1.62514403862259 30.8207881520512 28.6087522783906 27.2767401357015 27.2557638929768 4.51401499660235 4.46396742910831 4.48203935252558 0.447379001888379 0.467141998311703 0.467424037172412
"14" "RGG_6" "RGG" 1 0.1 0.05 0.0984316863692759 0.0988830056984277 1.00618900142871 0.00608697585684957 1.62514403862259 30.8207881520512 29.588052952124 26.6088686549189 26.5855721627509 1.68422810166937 1.7208059984326 1.73791402918421 0.372569265430844 0.472605337912667 0.480568544857558
"15" "RGG_6" "RGG" 1 0.1 0.2 0.0984316863692759 0.0988830056984277 1.00618900142871 0.0238419770895441 1.62514403862259 30.8207881520512 28.9399432449496 26.5159486286687 26.5009425035652 3.22539365466103 3.31303877168092 3.3208935519268 0.406263562522837 0.516923520450372 0.516804898945415
"16" "RGG_6" "RGG" 1 0.1 0.4 0.0984316863692759 0.0988830056984277 1.00618900142871 0.0528430269959137 1.62514403862259 30.8207881520512 28.8669870713464 27.0544738959369 27.0485805542228 4.85589481239292 5.23573077219073 5.25319027872785 0.403311863517356 0.489982687045458 0.4883761019239
"17" "RGG_6" "RGG" 2 0.01 0.05 0.0984316863692759 0.0988830056984277 1.00618900142871 0.000608697585684957 1.62514403862259 30.5756737266724 29.9249110691112 29.653146175512 29.6422729811866 0.508588920070308 0.542983837298019 0.545186539732711 0.292258816835312 0.358669869368748 0.361830459508024
"18" "RGG_6" "RGG" 2 0.01 0.2 0.0984316863692759 0.0988830056984277 1.00618900142871 0.00238419770895441 1.62514403862259 30.5756737266724 29.9208164106583 29.6750759356356 29.664071438549 1.03354752044238 1.06971072579701 1.07439336230166 0.342230450765839 0.332337875677855 0.331515922397203
