"network_id" "kind" "rep" "noise_amplitude" "noise_cov_dist" "alpha" "alpha.out" "beta" "odsr.cov" "eigen.ratio" "R_init" "R_mean" "x_bar_mean" "x_reduced_mean" "R_sd" "x_bar_sd" "x_reduced_sd" "R_acf_1" "x_bar_acf_1" "x_reduced_acf_1"
"2" "ER_5" "Erdos-Renyi" 1 0.01 0.05 0.0983641029746312 0.0999065855613403 1.01107305538417 0.00062120156140673 1.43070656206708 29.5721130494718 29.8947252002436 29.5751972731638 29.5294140240516 0.541210429043332 0.513198380010749 0.529951566841912 0.359442691326097 0.43879592773922 0.445032551977237
"3" "ER_5" "Erdos-Renyi" 1 0.01 0.2 0.0983641029746312 0.0999065855613403 1.01107305538417 0.00200644116805462 1.43070656206708 29.5721130494718 29.8382207278049 29.6123222526583 29.5578116540418 0.964480182610259 0.922556622286813 0.924591070333756 0.329017029978163 0.325924509006972 0.326865519099289
"4" "ER_5" "Erdos-Renyi" 1 0.01 0.4 0.0983641029746312 0.0999065855613403 1.01107305538417 0.00481810209391975 1.43070656206708 29.5721130494718 29.6374393838415 29.5432144694513 29.4952223475153 1.48732421715411 1.51136468375501 1.50794204485198 0.394051836975527 0.466121304912276 0.466506027363301
"5" "ER_5" "Erdos-Renyi" 1 0.0325 0.05 0.0983641029746312 0.0999065855613403 1.01107305538417 0.00201890507457187 1.43070656206708 29.5721130494718 29.8726345136786 28.9007251536963 28.8487313119647 0.96318863805956 0.944514189900634 0.974722205341373 0.301191511123901 0.402825383915596 0.40557194280941
"6" "ER_5" "Erdos-Renyi" 1 0.0325 0.2 0.0983641029746312 0.0999065855613403 1.01107305538417 0.0065209337961775 1.43070656206708 29.5721130494718 29.7637139302977 29.1334001598161 29.0755372505049 1.65398688255193 1.85455711156659 1.86092183075057 0.339874929166245 0.490311045924459 0.489495153153612
"7" "ER_5" "Erdos-Renyi" 1 0.0325 0.4 0.0983641029746312 0.0999065855613403 1.01107305538417 0.0156588318052392 1.43070656206708 29.5721130494718 29.233164719366 29.2195528394778 29.1558311778845 2.550485981477 2.83334664079372 2.82724217924549 0.353047406554602 0.40504138047596 0.405996164001327
"8" "ER_5" "Erdos-Renyi" 1 0.055 0.05 0.0983641029746312 0.0999065855613403 1.01107305538417 0.00341660858773701 1.43070656206708 29.5721130494718 29.8301778065101 28.3527592994787 28.2850366291738 1.26094829666831 1.24406053667434 1.27583184670309 0.374348386122732 0.438673862722213 0.437511400030091
"9" "ER_5" "Erdos-Renyi" 1 0.055 0.2 0.0983641029746312 0.0999065855613403 1.01107305538417 0.0110354264243004 1.43070656206708 29.5721130494718 29.6633038799201 28.460422033932 28.3972978157787 2.38426080653064 2.22015704547567 2.23609323489464 0.433699996927385 0.459353340086088 0.467653138966161
"10" "ER_5" "Erdos-Renyi" 1 0.055 0.4 0.0983641029746312 0.0999065855613403 1.01107305538417 0.0264995615165586 1.43070656206708 29.5721130494718 29.1436787668528 27.9607513958709 27.8971868186729 3.39210008300619 3.5164821615511 3.51283537776498 0.42048764451191 0.379090667837378 0.382711203520287
"11" "ER_5" "Erdos-Renyi" 1 0.0775 0.05 0.0983641029746312 0.0999065855613403 1.01107305538417 0.00481431210090215 1.43070656206708 29.5721130494718 29.7759526850008 27.3086787289353 27.236237726497 1.42684118611584 1.58413196290304 1.6366215237789 0.303526294836927 0.486793770688996 0.489496398348033
"12" "ER_5" "Erdos-Renyi" 1 0.0775 0.2 0.0983641029746312 0.0999065855613403 1.01107305538417 0.0155499190524233 1.43070656206708 29.5721130494718 29.2460576070631 27.2066753089224 27.1432891526969 2.60408887820627 2.87882049525622 2.90150899733943 0.416506993766174 0.540418638970755 0.545181222146708
"13" "ER_5" "Erdos-Renyi" 1 0.0775 0.4 0.0983641029746312 0.0999065855613403 1.01107305538417 0.0373402912278781 1.43070656206708 29.5721130494718 28.6004287447145 27.5684075137966 27.5052559605396 4.47882547396432 4.31067416422873 4.30300460917877 0.480591872305741 0.456579551878564 0.457503310594341
"14" "ER_5" "Erdos-Renyi" 1 0.1 0.05 0.0983641029746312 0.0999065855613403 1.01107305538417 0.0062120156140673 1.43070656206708 29.5721130494718 29.8858780097274 26.7511478586813 26.6815266315428 1.74542562484352 1.70817809972718 1.77832468357517 0.342018982523472 0.484691496923689 0.503291324514912
"15" "ER_5" "Erdos-Renyi" 1 0.1 0.2 0.0983641029746312 0.0999065855613403 1.01107305538417 0.0200644116805462 1.43070656206708 29.5721130494718 29.3098491032346 26.674597938072 26.6133241931511 3.06015581087799 3.17707850913955 3.19817762725775 0.429434698112532 0.503439467644799 0.505644844560552
"16" "ER_5" "Erdos-Renyi" 1 0.1 0.4 0.0983641029746312 0.0999065855613403 1.01107305538417 0.0481810209391975 1.43070656206708 29.5721130494718 28.8056214446541 25.8461288559047 25.7544493098045 4.58706441309359 5.06371119083602 5.07487358139949 0.402884590391231 0.578667378727333 0.584913406086433
"17" "ER_5" "Erdos-Renyi" 2 0.01 0.05 0.0983641029746312 0.0999065855613403 1.01107305538417 0.00062120156140673 1.43070656206708 30.0058905937626 29.8706867266044 29.6023091492623 29.552807369523 0.530763240102341 0.474286862028613 0.486692102892027 0.424649725226749 0.316628964644442 0.320333934029896
"18" "ER_5" "Erdos-Renyi" 2 0.01 0.2 0.0983641029746312 0.0999065855613403 1.01107305538417 0.00200644116805462 1.43070656206708 30.0058905937626 29.8151580633467 29.6330052342612 29.5828228182599 0.958214177277913 0.949746765088035 0.952930398578246 0.33479231076897 0.428318524798467 0.431118060274335
